threshold,accuracy,precision,recall,f1,predicted_anomaly_rows
0.85,0.9614191966539266,0.9813519813519813,0.8096153846153846,0.8872497365648051,2145
0.8,0.9607701737938992,0.9622302158273381,0.823076923076923,0.8872305140961857,2224
0.9,0.9598326963294151,0.9913419913419913,0.7926923076923077,0.8809574695447745,2079
0.75,0.9574529458426481,0.9287542662116041,0.8373076923076923,0.8806634304207119,2344
0.7,0.9523328766135429,0.890769850866586,0.85,0.8699074985239126,2481
0.65,0.9481502848489219,0.8596558317399617,0.8646153846153846,0.8621284755512943,2615
0.6,0.9425975337131319,0.8284777858703569,0.875,0.8511036288814067,2746
0.55,0.9347371457416889,0.7917383820998278,0.8846153846153846,0.8356039963669392,2905
0.5,0.9268046441191318,0.7583958265405935,0.8946153846153846,0.8208928886536087,3067
0.45,0.9138963005696978,0.7141986593540524,0.9015384615384615,0.7970078204692281,3282
0.4,0.8985360928823827,0.6687411598302687,0.9092307692307692,0.7706601466992665,3535
0.35,0.8785606115237614,0.618837571354437,0.9173076923076923,0.7390765416795786,3854
0.3,0.8525275834715511,0.5653094845846082,0.9238461538461539,0.7014162651481968,4249
0.25,0.818706281099012,0.509018456375839,0.9334615384615385,0.6587947882736156,4768
0.2,0.7749332948727194,0.4520875482803016,0.9453846153846154,0.6116710215254448,5437
0.15,0.709093531405495,0.38883720930232557,0.9646153846153847,0.5542541436464088,6450
0.1,0.6328694021778323,0.335880880221373,0.9803846153846154,0.5003435077043871,7589
