video_name,rows,gt_anomaly_rows,pred_anomaly_rows,precision,recall,f1
umn13,3105,0,9,0.0,0.0,0.0
umn14,3477,1275,1131,0.9876215738284704,0.876078431372549,0.9285120532003325
umn15,3326,0,13,0.0,0.0,0.0
umn16,3959,1325,992,0.9959677419354839,0.7456603773584906,0.8528269313767803
